epoch,acc,iou,learning_rate,loss,precision,recall,val_acc,val_iou,val_loss,val_precision,val_recall
0,0.8225535750389099,0.09865890443325043,9.999999747378752e-05,0.4948025643825531,0.22406437993049622,0.31690698862075806,0.9015634059906006,0.08481891453266144,0.5807197093963623,0.0,0.0
1,0.8955202698707581,0.11621368676424026,9.999999747378752e-05,0.369094580411911,0.46706193685531616,0.3383130431175232,0.9015634059906006,0.07615639269351959,0.44883042573928833,0.0,0.0
2,0.9106823205947876,0.13828186690807343,9.999999747378752e-05,0.3231448829174042,0.568211555480957,0.4463900625705719,0.9015634059906006,0.06509704142808914,0.3838352560997009,0.0,0.0
3,0.921002209186554,0.15761686861515045,9.999999747378752e-05,0.2947324216365814,0.6364318132400513,0.49535804986953735,0.9015634059906006,0.05194695666432381,0.3625466525554657,0.0,0.0
4,0.9311424493789673,0.18160560727119446,9.999999747378752e-05,0.26968368887901306,0.6973912715911865,0.5578984618186951,0.9015634059906006,0.049476444721221924,0.3368774354457855,0.0,0.0
5,0.939098060131073,0.20386795699596405,9.999999747378752e-05,0.247967928647995,0.7449739575386047,0.604324996471405,0.9015634059906006,0.046883922070264816,0.3242073953151703,0.0,0.0
6,0.9455209970474243,0.2226189821958542,9.999999747378752e-05,0.229505717754364,0.7846813201904297,0.6377040147781372,0.8977194428443909,0.05240936204791069,0.3208483159542084,0.10006993263959885,0.004879757761955261
7,0.948852002620697,0.23744821548461914,9.999999747378752e-05,0.21548788249492645,0.8057863116264343,0.6544800400733948,0.8821523785591125,0.06813319027423859,0.3302539587020874,0.15769551694393158,0.04520441219210625
8,0.9528378248214722,0.2536677420139313,9.999999747378752e-05,0.20217610895633698,0.8223404884338379,0.686001718044281,0.8593975901603699,0.10585961490869522,0.35381340980529785,0.26570799946784973,0.24048462510108948
9,0.9575287699699402,0.2709245979785919,9.999999747378752e-05,0.1883140355348587,0.8451295495033264,0.7172178030014038,0.8476455807685852,0.15786397457122803,0.38564664125442505,0.31083834171295166,0.4415157735347748
10,0.9603723883628845,0.28567537665367126,9.999999747378752e-06,0.1784404218196869,0.8471049666404724,0.750657320022583,0.8940438628196716,0.15130306780338287,0.281716525554657,0.456866979598999,0.36568111181259155
11,0.9676966071128845,0.2984752655029297,9.999999747378752e-06,0.16585764288902283,0.8997730612754822,0.77646404504776,0.9162298440933228,0.20373114943504333,0.24173595011234283,0.5942385792732239,0.5018337965011597
12,0.9698331952095032,0.3064212203025818,9.999999747378752e-06,0.1614965796470642,0.9044660925865173,0.7964737415313721,0.9323077201843262,0.24025042355060577,0.21344758570194244,0.6911377906799316,0.5870590209960938
13,0.9714503288269043,0.3123842179775238,9.999999747378752e-06,0.15803788602352142,0.9099170565605164,0.8093570470809937,0.9420718550682068,0.2617171108722687,0.19699423015117645,0.7479665875434875,0.6408882737159729
14,0.9724088907241821,0.3173673450946808,9.999999747378752e-06,0.15545371174812317,0.9117414355278015,0.8184028267860413,0.9465680122375488,0.2709372043609619,0.18712957203388214,0.7774348258972168,0.6591145396232605
15,0.9736721515655518,0.32229942083358765,9.999999747378752e-06,0.15266522765159607,0.9164759516716003,0.8276323676109314,0.9489099383354187,0.2773030698299408,0.18302011489868164,0.7860596179962158,0.6799542307853699
16,0.9744700789451599,0.32669028639793396,9.999999747378752e-06,0.15028569102287292,0.9189704060554504,0.8342157006263733,0.9504373073577881,0.2792779505252838,0.17996059358119965,0.8000620007514954,0.6798581480979919
17,0.9753230214118958,0.3305548131465912,9.999999747378752e-06,0.14808793365955353,0.9222115278244019,0.8400724530220032,0.9512203931808472,0.2805418372154236,0.1782350093126297,0.807954728603363,0.6791481971740723
18,0.9761121869087219,0.3348589241504669,9.999999747378752e-06,0.14581644535064697,0.9249256253242493,0.8461994528770447,0.9518716335296631,0.28165310621261597,0.17698530852794647,0.8155953288078308,0.6772973537445068
19,0.9768893718719482,0.3387429714202881,9.999999747378752e-06,0.14364245533943176,0.9282035231590271,0.8515104651451111,0.9519219994544983,0.28218603134155273,0.17596781253814697,0.8204445838928223,0.6711806058883667
20,0.9776546955108643,0.34240397810935974,9.999999747378752e-06,0.14162206649780273,0.9306589365005493,0.8572200536727905,0.9522042870521545,0.2860141694545746,0.17520809173583984,0.8173351883888245,0.6793807148933411
21,0.9783319234848022,0.34594348073005676,9.999999747378752e-06,0.1396614909172058,0.9337567687034607,0.86146080493927,0.9523443579673767,0.2875189483165741,0.174549400806427,0.8180229067802429,0.6804595589637756
22,0.9789338707923889,0.3499515950679779,9.999999747378752e-06,0.13763363659381866,0.9350502490997314,0.8669444918632507,0.9524042010307312,0.2895164489746094,0.17351236939430237,0.8191947937011719,0.6794458031654358
23,0.9796637892723083,0.35339319705963135,9.999999747378752e-06,0.13561035692691803,0.9389744400978088,0.8707493543624878,0.9524990916252136,0.29116371273994446,0.17319849133491516,0.8185347318649292,0.6818267703056335
24,0.9801758527755737,0.3568779230117798,9.999999747378752e-06,0.13385865092277527,0.9397466778755188,0.8759628534317017,0.9525637626647949,0.28996819257736206,0.17283794283866882,0.8267991542816162,0.6715960502624512
25,0.9807946085929871,0.36042407155036926,9.999999747378752e-06,0.13205865025520325,0.9421665072441101,0.8800032138824463,0.9526827931404114,0.29314929246902466,0.17199888825416565,0.8250108957290649,0.6755580902099609
26,0.9812196493148804,0.3633006811141968,9.999999747378752e-06,0.130451500415802,0.9439277052879333,0.8827388882637024,0.9526669383049011,0.2928641736507416,0.17149338126182556,0.827704906463623,0.6717851161956787
27,0.9819387793540955,0.3671180009841919,9.999999747378752e-06,0.1284678429365158,0.9465807676315308,0.887988269329071,0.9527035355567932,0.29433053731918335,0.17096813023090363,0.8301670551300049,0.6691096425056458
28,0.9823862314224243,0.36994078755378723,9.999999747378752e-06,0.1269635260105133,0.9490580558776855,0.8902676105499268,0.9528506398200989,0.2992230951786041,0.17099705338478088,0.82048499584198,0.6843441724777222
29,0.982795000076294,0.3733065724372864,9.999999747378752e-06,0.12541669607162476,0.9497113823890686,0.8941198587417603,0.9527957439422607,0.2991471290588379,0.17100828886032104,0.823633074760437,0.6794117093086243
30,0.9832074046134949,0.3762880563735962,9.999999747378752e-06,0.12388333678245544,0.951354444026947,0.8968239426612854,0.9530367851257324,0.302964448928833,0.1704699695110321,0.8204762935638428,0.687038242816925
31,0.9836801290512085,0.3794998228549957,9.999999747378752e-06,0.12228590995073318,0.9527792930603027,0.9005239605903625,0.9529870748519897,0.30293509364128113,0.17027325928211212,0.8256136178970337,0.6792690753936768
32,0.9841360449790955,0.3822999596595764,9.999999747378752e-06,0.12075541168451309,0.9550513625144958,0.9030958414077759,0.9526538252830505,0.3018167018890381,0.17096015810966492,0.8277803063392639,0.6719618439674377
33,0.984489917755127,0.38500717282295227,9.999999747378752e-06,0.11934290826320648,0.9568368196487427,0.9052414298057556,0.9522393941879272,0.3077395260334015,0.1719028651714325,0.8112914562225342,0.6896393299102783
34,0.9847981333732605,0.3877078592777252,9.999999747378752e-06,0.11809509992599487,0.9575625658035278,0.9078368544578552,0.9524762034416199,0.3055310845375061,0.17148278653621674,0.8206961154937744,0.6792101860046387
35,0.9846678376197815,0.3890453279018402,9.999999974752427e-07,0.1176334097981453,0.9563561677932739,0.9077351093292236,0.9517868161201477,0.3066798150539398,0.1710759699344635,0.8108108043670654,0.6836931109428406
36,0.9850128293037415,0.38973456621170044,9.999999974752427e-07,0.11698197573423386,0.958464503288269,0.9091684222221375,0.9513403177261353,0.3073570132255554,0.1721794754266739,0.8045070171356201,0.6868677735328674
37,0.9851142764091492,0.3902561664581299,9.999999974752427e-07,0.11672531068325043,0.9586204886436462,0.9102796316146851,0.9514718651771545,0.30792051553726196,0.17194052040576935,0.8042647838592529,0.689186692237854
38,0.9853529334068298,0.3908251225948334,1.0000000116860974e-07,0.11631783843040466,0.9599467515945435,0.911423921585083,0.9517565965652466,0.30791574716567993,0.17131024599075317,0.8076093196868896,0.6880892515182495
39,0.9852958917617798,0.3906770646572113,1.0000000116860974e-07,0.11637720465660095,0.9593133926391602,0.911366879940033,0.9519085884094238,0.3079603612422943,0.17097820341587067,0.8095685243606567,0.687233567237854
40,0.9853602051734924,0.39099758863449097,1.0000000116860974e-07,0.1162591204047203,0.9598265886306763,0.9115865230560303,0.9519619941711426,0.3081669211387634,0.17081819474697113,0.8099614977836609,0.6873638033866882
41,0.9852768182754517,0.3906727731227875,9.99999993922529e-09,0.11633223295211792,0.9595631957054138,0.9108877778053284,0.9520077705383301,0.3081018626689911,0.17074331641197205,0.8105409741401672,0.6871343851089478
