epoch,accuracy,dice_coef,iou_metric,learning_rate,loss,val_accuracy,val_dice_coef,val_iou_metric,val_loss
0,0.872965931892395,0.32843825221061707,0.28381770849227905,9.999999747378752e-05,1.0418601036071777,0.8203675150871277,0.18343932926654816,0.17917054891586304,1.3548617362976074
1,0.9205990433692932,0.4419117867946625,0.3755740821361542,9.999999747378752e-05,0.8000547885894775,0.44102349877357483,0.19232319295406342,0.11535266041755676,2.529661178588867
2,0.9273921251296997,0.49921542406082153,0.4103878140449524,9.999999747378752e-05,0.7123979926109314,0.6666557788848877,0.27169373631477356,0.17965781688690186,1.9683916568756104
3,0.9355908036231995,0.5470784902572632,0.46024787425994873,9.999999747378752e-05,0.6427713632583618,0.8724103569984436,0.32500866055488586,0.22621798515319824,1.1151694059371948
4,0.9352384805679321,0.5602511763572693,0.4565597474575043,9.999999747378752e-05,0.6265101432800293,0.9060608744621277,0.36838531494140625,0.24761728942394257,0.9788689017295837
5,0.9424954056739807,0.5989885926246643,0.49322769045829773,9.999999747378752e-05,0.5706638097763062,0.9133184552192688,0.38646504282951355,0.27989038825035095,0.8648748993873596
6,0.9438186883926392,0.6048704385757446,0.5064876079559326,9.999999747378752e-05,0.5626962184906006,0.9366680383682251,0.41986367106437683,0.2657438814640045,0.7821164727210999
7,0.9477609395980835,0.627703070640564,0.5212692022323608,9.999999747378752e-05,0.5298805832862854,0.937389075756073,0.546170175075531,0.3579227030277252,0.6323763728141785
8,0.9486352801322937,0.6428350806236267,0.5334075689315796,9.999999747378752e-05,0.5084535479545593,0.9448674321174622,0.5348259806632996,0.36800703406333923,0.6388432383537292
9,0.9493061900138855,0.6533205509185791,0.5564869046211243,9.999999747378752e-05,0.49590831995010376,0.9445176124572754,0.5645111203193665,0.3878137171268463,0.5668467879295349
10,0.9523680210113525,0.6730196475982666,0.5616850256919861,9.999999747378752e-05,0.47374656796455383,0.9433252215385437,0.5576331615447998,0.38463687896728516,0.5943236351013184
11,0.953412652015686,0.6793539524078369,0.5609897375106812,9.999999747378752e-05,0.45902496576309204,0.9612102508544922,0.6181133389472961,0.38623833656311035,0.5021819472312927
12,0.9543025493621826,0.6939032077789307,0.58060622215271,9.999999747378752e-05,0.44260406494140625,0.9694054126739502,0.6086181998252869,0.4983029067516327,0.4526868164539337
13,0.9572608470916748,0.7078083753585815,0.5930827856063843,9.999999747378752e-05,0.4202398359775543,0.9698079228401184,0.7044768929481506,0.48363304138183594,0.4271154999732971
14,0.9581792950630188,0.7187312245368958,0.6236393451690674,9.999999747378752e-05,0.4104093909263611,0.9700384140014648,0.6682199835777283,0.5110780000686646,0.4325134754180908
15,0.9606015086174011,0.7308589220046997,0.6258901357650757,9.999999747378752e-05,0.39480048418045044,0.9628766179084778,0.6694178581237793,0.47555121779441833,0.45054545998573303
16,0.9579732418060303,0.7212552428245544,0.6220767498016357,9.999999747378752e-05,0.40624919533729553,0.9634718894958496,0.6753355860710144,0.5250723361968994,0.4612244963645935
17,0.9591491222381592,0.7262745499610901,0.6326955556869507,9.999999747378752e-05,0.398680716753006,0.9686650037765503,0.547206461429596,0.3865032494068146,0.49489662051200867
18,0.9596036672592163,0.7299658060073853,0.6226444840431213,9.999999747378752e-05,0.3946899175643921,0.9628604054450989,0.688471257686615,0.5099186301231384,0.4307405948638916
19,0.9654171466827393,0.7673171162605286,0.6867913007736206,4.999999873689376e-05,0.3389229476451874,0.9788960218429565,0.7294670939445496,0.5643969178199768,0.33243829011917114
20,0.9701976180076599,0.7946458458900452,0.7138835191726685,4.999999873689376e-05,0.2988907992839813,0.9753581285476685,0.7447468638420105,0.5336760878562927,0.3466269075870514
21,0.9713770151138306,0.8031153678894043,0.7184907793998718,4.999999873689376e-05,0.28731587529182434,0.9630038142204285,0.6949051022529602,0.5223256349563599,0.41689541935920715
22,0.972012460231781,0.8083515763282776,0.7259964942932129,4.999999873689376e-05,0.2797587513923645,0.9737418293952942,0.7430794835090637,0.5137940645217896,0.34697553515434265
23,0.9736911058425903,0.8167871236801147,0.733599066734314,4.999999873689376e-05,0.26750269532203674,0.9797410368919373,0.8134476542472839,0.6108128428459167,0.27119988203048706
24,0.9732031226158142,0.8101108074188232,0.7339527606964111,4.999999873689376e-05,0.27608829736709595,0.9768629670143127,0.7552706599235535,0.5403988361358643,0.35597026348114014
